name,owner,years
extremetech.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
pressreader.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
detroitnews.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
americanbar.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
getcomposer.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
thingiverse.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
cheezburger.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
webcindario.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
govdelivery.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
libreoffice.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
payforessay.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
fortunecity.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
naturalnews.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
dailycaller.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
andersnoren.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
lightwidget.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
codeproject.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
grademiners.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
ritzcarlton.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
globaltimes.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
kissmetrics.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
morningstar.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
foodandwine.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
surveygizmo.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
myftpupload.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
marketplace.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
yellowpages.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
seriouseats.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
bitdefender.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
getresponse.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
deseretnews.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
homeadvisor.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
rwth-aachen.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
openculture.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
bestwestern.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
uni-hamburg.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
ilsole24ore.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
emailmeform.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
bigcommerce.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
mozillazine.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
myportfolio.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
dailyrecord.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
rush-essays.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
derstandard.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
rose-brides.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
marieclaire.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
europapress.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
randomhouse.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
mensjournal.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
regulations.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
teslamotors.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
cyberchimps.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
bbcgoodfood.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
theinquirer.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
peopledaily.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
northjersey.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
freeservers.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
yidianzixun.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
dailyherald.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
buffalonews.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
opensecrets.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
crunchyroll.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
aftonbladet.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
producthunt.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
publicradio.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
weddingwire.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
walesonline.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
openedition.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
cinemablend.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
pressherald.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
hostelworld.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
jamieoliver.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
consumerist.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
bitcointalk.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
createspace.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
lasvegassun.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
freedesktop.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
thediplomat.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
thunderbird.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
flagcounter.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
myanimelist.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
ebaumsworld.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
kinohooitj3.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
wonderhowto.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
thalesgroup.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
openlibrary.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
pluralsight.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
essaywriter.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
iconosquare.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
mymodernmet.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
sublimetext.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
adblockplus.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
mediabistro.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
blackplanet.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
marketwired.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
koreaherald.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
acpjournals.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
radissonblu.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
muffingroup.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,3
copyblogger.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,1
elperiodico.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
picturepush.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
creditchina.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
pocket-lint.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
uni-leipzig.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
eluniversal.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
southampton.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
mcclatchydc.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,1
rubyonrails.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
wanfangdata.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
square-enix.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
squareblogs.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
iucnredlist.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
thisismoney.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
sandiegozoo.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
wildapricot.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
instructure.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
theadvocate.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,1
activestate.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
ballotpedia.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,2
officedepot.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,3
qingdaonews.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
futurelearn.ic,ebbno-doi5k-zxs2f-4aaea-eactd-7vgyw-3wzwd-vxfat-l6lvp-lu7bx-fae,3
chinasafety.ic,xyfny-5blvy-v36rs-n6ijf-ayzfn-yh2bo-f2blw-7jbrw-jlmuy-grqts-qae,2
quicksprout.ic,4kbq5-quwq5-x52xb-jbojt-6y72h-rzbnf-676wu-kendm-rw4ga-iipjb-pqe,2
