name,operation,key,value
foodandwine.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
surveygizmo.ic,InsertOrIgnore,account_id.icp,af694931622afbf597d1bb58407d0aa2d3f220650ad84d145e1ab348e318ca8f
myftpupload.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
marketplace.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
yellowpages.ic,InsertOrIgnore,account_id.icp,4b676cf62dca61c4d7ca3f92fd556196e5fe4e05bc52202fd6d51cb97366faa5
seriouseats.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bitdefender.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
getresponse.ic,InsertOrIgnore,account_id.icp,cba9d59d37d2418b9fbad1533089c75cf2179c3cc7a3af0d6728a0c92f71d512
deseretnews.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
homeadvisor.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
rwth-aachen.ic,InsertOrIgnore,account_id.icp,6c282de69eb855538b9e58fa6df1ce5b340f7bd4944e7e0e496a730c5d36c235
openculture.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bestwestern.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
uni-hamburg.ic,InsertOrIgnore,account_id.icp,a4903b071f29d2003c3dff43b770196e8d6da2db4cc115a5110e44b2114e2bce
ilsole24ore.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
emailmeform.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bigcommerce.ic,InsertOrIgnore,account_id.icp,a89c06819e189af54c67752e4009b9252adbd3bd222c475b2eab5f2b2429fd18
mozillazine.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
myportfolio.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
dailyrecord.ic,InsertOrIgnore,account_id.icp,09b7acc52408ac5c1d4e5308c56221d47d1a7723bc6dd78f0d7ee7c3583d3970
rush-essays.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
derstandard.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
rose-brides.ic,InsertOrIgnore,account_id.icp,669cad56d8b40ae470a983e28e3bac3f48d811c10e7d5d29a1c77aaa3b315394
marieclaire.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
europapress.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
randomhouse.ic,InsertOrIgnore,account_id.icp,648a51c9a3cf81ba8375a4ebd3021058687127a6ea70882e092faef226c71e97
mensjournal.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
regulations.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
teslamotors.ic,InsertOrIgnore,account_id.icp,3574c11922c32b08de47f9c73c6079f4ac8d714a3f7aff0cf6dfbacec9afe698
cyberchimps.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bbcgoodfood.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
theinquirer.ic,InsertOrIgnore,account_id.icp,4ab6538c72e6c9ab4aa6c9b4e95c184027d3cb45264956252345d612911e7e7f
peopledaily.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
northjersey.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
freeservers.ic,InsertOrIgnore,account_id.icp,72568cf73fbc007eb1717ed5b2e3e93843f65975f5d7bd455c8757e9b6ca5fe7
yidianzixun.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
dailyherald.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
buffalonews.ic,InsertOrIgnore,account_id.icp,096b77a24d4fdf92ee7d5664b6d91d622cdb0f5e1c48798dbab679266ddff359
opensecrets.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
crunchyroll.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
aftonbladet.ic,InsertOrIgnore,account_id.icp,5687fd470a7a76bde294ca8ec1f7faa2157d4f3a585c223fe34933a950c9b1a7
producthunt.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
publicradio.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
weddingwire.ic,InsertOrIgnore,account_id.icp,1731d20c69f6372620d9f2e0b20342137e37e069c7d2aeeaabf38f7d35a5a099
walesonline.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
openedition.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
cinemablend.ic,InsertOrIgnore,account_id.icp,d3858652b147263e4e6f13990ab201f16c51a13ba85412dde427e7f22e4e33d0
pressherald.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
hostelworld.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
jamieoliver.ic,InsertOrIgnore,account_id.icp,c15bde64078355e416f73e4ae4954530b7804a3a05e601d995017ea7a7ac0a39
consumerist.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
bitcointalk.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
createspace.ic,InsertOrIgnore,account_id.icp,63a70985c6d6b244eb66c9c8623f4d76562f32c7c2ddf4452461641f31081a3a
lasvegassun.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
freedesktop.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
thediplomat.ic,InsertOrIgnore,account_id.icp,37b34228f04bbad030bc991170a35430a02f49b08c5d2f64c2c67ce717fb9bb8
thunderbird.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
flagcounter.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
myanimelist.ic,InsertOrIgnore,account_id.icp,b18d1b48464ea8b085538d0a386edb4fba9c716bc381b577b284f1fc58806a0c
ebaumsworld.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
kinohooitj3.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
wonderhowto.ic,InsertOrIgnore,account_id.icp,792bec033367b9d9af66874ddcfdbc27af98a45e37820db0ad825508f588d55d
thalesgroup.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
openlibrary.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
pluralsight.ic,InsertOrIgnore,account_id.icp,b617404ecca0591b507654e76e933dbc9fed2fc6e4623c372c87d7315db70e13
essaywriter.ic,Remove,settings.reverse_resolution.principal,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
iconosquare.ic,Upsert,principal.icp,bygyz-vtdaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaaaa-aaa
mymodernmet.ic,InsertOrIgnore,account_id.icp,4266be6330c19911cf32d641061e6cf581d1e37e1c4a9774840c7b31ce48c174
