grantee,summary,grant,icnaming,type
IC Drive (Follow-On),Analysis of cycles for storage,5000.0,,grant
IC Video,Decentralized video conferencing,25000.0,icvideo,grant
ICME,No code website builder,25000.0,icme,grant
ICP123,Ecosystem page built on the Internet Computer,5000.0,icp123,grant
ICPLaunchPad,IC dapp statistics and user rewards platform,25000.0,icplaunchpad,grant
ICPSwap,Decentralized exchange infrastructure for the Internet Computer,25000.0,icpswap,grant
ICPipeline,Developer tools to bring SDLC best practices to the IC,25000.0,icpipeline,grant
ICPlaces,Virtual reality prototype,5000.0,icplaces,grant
ICPmaps,"Open Maps, GIS data on the IC",25000.0,icpmaps,grant
ICPmeet,Decentralized dating app,25000.0,icpmeet,grant
ICPunks,"CryptoPunks clone on the Internet Computer, cross-chain NFT infrastructure",25000.0,icpunks,grant
ICPunks (Follow-On),Cross-chain NFT infrastructure and open source marketplace,100000.0,,grant
ICmoji Origins,"DSCVR Hackathon Season 2 Winner, NFT-based game",25000.0,icmojiorigins,grant
Icpscan,Network and dapp ecosystem explorer,5000.0,icpscan,grant
Identity Labs,React authentication plug-in,25000.0,identitylabs,grant
InfinitySwap,Atomicity research study and prototype,25000.0,infinityswap,grant
Internet Computer Based Blogs/News/CMS Site,Internet Computer Based Blogs/News/CMS Site,5000.0,,grant
Klever.io,Klever.io non-custodial wallet support of ICP,25000.0,klever,grant
LEARND,Learning and rewards platform with Internet Computer courses and content,5000.0,learnd,grant
Matoken,NFT access control and storage,5000.0,matoken,grant
MetaverseAI,Open source metaverse frameworks,25000.0,metaverseai,grant
Mission is Possible,PvP shooter game built with Unity 3D Game Engine,25000.0,,grant
ModClub,"Decentralized user generated content (UGC) moderation service, to integrate with existing IC dapps",25000.0,modclub,grant
Motoko Playground,Community-driven UI / UX enhancements,5000.0,motokoplayground,grant
Motoko School,Internet Computer learning and rewards platform,5000.0,motokoschool,grant
MugaTunes,Music curation and NFT platform,5000.0,mugatunes,grant
My Status,Social media dapp for sharing short daily status updates,5000.0,mystatus,grant
NFT English Auction,English auction canister and developer tools,25000.0,nftenglishauction,grant
Nuance,Decentralized blogging platform,25000.0,nuance,grant
Open Assessment Platform,Open source question editor and renderer for in-dapp assessments,5000.0,openassessmentplatform,grant
Orb,OpenStreetMap for the IC,5000.0,orb,grant
OrderSwap,Open Order Protocol and AMM infrastructure,25000.0,orderswap,grant
Overchute,Blind crowdsale protocol for intellectual property,25000.0,overchute,grant
PORTAL,Live streaming app with WebRTC,25000.0,portal,grant
PUZZLE,Collaborative NFT platform,25000.0,puzzle,grant
Party Board,"Decentralized, topic-based social networking",25000.0,partyboard,grant
Perun Channels on the Internet Computer,Perun state channels on the Internet Computer,25000.0,perunchannels,grant
Photos,Photo sharing and storage dapp,25000.0,photos,grant
QR Gallery,Connected NFT experiences with a Poland-based art gallery,5000.0,qrgallery,grant
SHELF,"""Phygital"" streaming service using NFTs",25000.0,shelf,grant
SPEEQO,Voice-based machine learning and voice analysis,25000.0,speeqo,grant
Saga Tarot,"Tarot game on the IC, with the goal of becoming like Hearthstone or MTG Arena",25000.0,sagatarot,grant
SkyDocs,Real-time document collaboration and storage,25000.0,skydocs,grant
Smart Contract Assets Within the Metaverse,Integration of canister smart contracts into existing enterprise metaverse platform,25000.0,,grant
SmartPiggies,NFTs as digital risk transfer products,25000.0,smartpiggies,grant
Supra-Oracles,Oracle prototype on the Internet Computer,5000.0,supraoracles,grant
Texas,Suite of card games,5000.0,texas,grant
The Wall,Ethereum x Internet Computer dapp,5000.0,thewall,grant
The video canister,Video streaming infrastructure for developers,25000.0,video,grant
Thuba Education,Beginner resources for building on the IC,5000.0,thubaeducation,grant
TinGram,Tokenized dating app,25000.0,tingram,grant
Triip,"A decentralized, sustainable travel co-op",25000.0,triip,grant
Unite,Community organizing dapp,5000.0,unite,grant
Usergeek,Product analytics tool for IC dapp developers,25000.0,usergeek,grant
Waterslide,Building the first Liquity front-end on the Internet Computer,5000.0,waterslide,grant
WeAct.chat,"Social activism dapp designed to support communication, collaboration, and crowdsourcing of work  ",25000.0,weactchat,grant
"XRFoundation - XREngine, Blockchain-in-a-Box, Digital Beings",Open source tools and infrastructure for metaverse building,100000.0,xrfoundation,grant
candid-convert,Developer tools for parsing Candid to TypeScript,5000.0,candidconvert,grant
crowdEats,Restrauant review dapp with social and reward components,5000.0,crowdeats,grant
dFlow,Decentralized workflows for B2B collaboration,25000.0,dflow,grant
dService,Next-generation decentralized Service Management Application,25000.0,dservice,grant
dbox,Spam free inbox for IC dapp developers to communicate directly with their users,25000.0,dbox,grant
get.impact.now,Non-partisan cooperative platform for democratic decision making,25000.0,getimpactnow,grant
ic.rocks,A collection of developer tools for understanding activity and transactions on the Internet Computer,25000.0,icrocks,grant
icApps,IC dapps directory and developer portal,25000.0,icapps,grant
ic_tools_dart,Dart agent to help support Flutter dapps on the Internet Computer,5000.0,ictoolsdart,grant
